city,lat,lng,admin_name
Thị Trấn Phước Bửu,10.5347,107.402,Bà Rịa-Vũng Tàu
Kim Tân,20.1305,105.6745,Thanh Hóa
Phước Vĩnh,11.2947,106.7953,Bình Dương
Chùa Hang,21.6238,105.8417,Thái Nguyên
Cẩm Thủy,20.2087,105.4695,Thanh Hóa
Châu Thành,11.3117,106.0295,Tây Ninh
Dương Minh Châu,11.3841,106.2308,Tây Ninh
Dầu Tiếng,11.2741,106.3588,Bình Dương
Đoan Hùng,21.6225,105.1846,Phú Thọ
Tân Phú,11.2722,107.4365,Đồng Nai
Chợ Mới,21.8837,105.7728,Bắc Kạn
Đầm Dơi,8.9921,105.196,Cà Mau
Tràm Chim,10.67,105.5647,Đồng Tháp
Vụ Bản,20.4642,105.4435,Hòa Bình
Sơn Dương,21.6968,105.399,Tuyên Quang
Cẩm Xuyên,18.2503,106.0013,Hà Tĩnh
Phú Lộc,16.2804,107.859,Thừa Thiên-Huế
Tri Tôn,10.4202,105.0007,An Giang
Ninh Hòa,12.4919,109.125,Khánh Hòa
Sông Cầu,13.4556,109.2235,Phú Yên
Quảng Phú,12.8196,108.0774,Đắk Lắk
Thới Bình,9.3558,105.0993,Cà Mau
Krông Năng,12.9517,108.3443,Đắk Lắk
Phước Dân,11.527,108.93,Ninh Thuận
Hàng Trạm,20.3947,105.6224,Hòa Bình
Thứ Mười Một,9.6114,104.9465,Kiến Giang
Hạ Hòa,21.563,105.0051,Phú Thọ
Bo,20.6726,105.5362,Hòa Bình
Móng Cái,21.5298,107.968,Quảng Ninh
Chũ,21.3738,106.5665,Bắc Giang
Đưc Trọng,11.7356,108.3733,Lâm Đồng
Chơn Thành,11.4282,106.6354,Bình Phước
Liên Hương,11.2276,108.7237,Bình Thuận
Lương Sơn,20.8715,105.5257,Hòa Bình
Thanh Chương,18.7788,105.3336,Nghệ An
Tân Thạnh,10.6067,106.0471,Long An
Hải Lăng,16.6935,107.2512,Quảng Trị
Hòa Vang,15.9876,108.1389,Đà Nẵng
Tân Kỳ,19.0476,105.2681,Nghệ An
Phú Phong,13.9096,108.919,Bình Định
Chợ Chu,21.9072,105.6422,Thái Nguyên
Kỳ Sơn,20.8867,105.3524,Hòa Bình
Chi Nê,20.4906,105.778,Hòa Bình
Mỹ Phước,10.4771,106.1926,Tiền Giang
Cam Lâm,12.054,109.16,Khánh Hòa
Thạnh Mỹ,11.7617,108.4947,Lâm Đồng
Hòn Đất,10.1846,104.9296,Kiến Giang
Cao Phong,20.7045,105.3206,Hòa Bình
Anh Sơn,18.9325,105.076,Nghệ An
Kỳ Anh,18.0624,106.2983,Hà Tĩnh
Cần Giờ,10.4111,106.9547,Hồ Chí Minh
Gio Linh,16.9248,107.0844,Quảng Trị
Đắk Mil,12.4496,107.6224,Đắk Nông
Bù Đốp,11.9549,106.8002,Bình Phước
Đồng Nai,11.5798,107.3652,Lâm Đồng
Thị Trấn Đồng Văn,23.2784,105.3629,Hà Giang
Đinh Văn,11.7862,108.2428,Lâm Đồng
Mường Khến,20.6144,105.2795,Hòa Bình
Tiên Phước,15.4882,108.3074,Quảng Nam
Ea T’ling,12.589,107.8958,Đắk Nông
Ea Kar,12.8082,108.449,Đắk Lắk
Lộc Ninh,11.8448,106.5907,Bình Phước
Cát Bà,20.7278,107.0482,Hải Phòng
Năm Căn,8.759,104.9929,Cà Mau
Thị Trấn Phố Lu,22.3192,104.1872,Lào Cai
Vĩnh An,11.089,107.0352,Đồng Nai
Đông Thành,10.8922,106.3061,Long An
Chư Sê,13.6915,108.0802,Gia Lai
A Yun Pa,13.4003,108.435,Gia Lai
Bến Sung,19.6314,105.5782,Thanh Hóa
Hữu Lũng,21.5056,106.3446,Lạng Sơn
Hồ Xá,17.0684,107.0052,Quảng Trị
Tân Châu,11.552,106.1725,Tây Ninh
U Minh,9.4129,104.9735,Cà Mau
Thị Trấn Yên Thế,22.1107,104.7675,Yên Bái
Si Ma Cai,22.6951,104.2786,Lào Cai
Vĩnh Hưng,10.8907,105.7849,Long An
Thị Trấn Mèo Vạc,23.1641,105.4099,Hà Giang
Cam Lộ,16.808,106.9941,Quảng Trị
Ma Lâm,11.073,108.13,Bình Thuận
Ngọc Hiển,8.6572,105.0602,Cà Mau
Thị Trấn Tân Yên,22.0655,105.0345,Tuyên Quang
Thanh Sơn,21.1987,105.1789,Phú Thọ
Sơn Thịnh,21.5625,104.5948,Yên Bái
Quỳ Hợp,19.3255,105.1825,Nghệ An
